Entity,WeeklyGrowth
ElevenLabs,1.5085784313725492
Universal,0.5988095238095238
Meta,0.5693832449340405
MidJourney,0.5619047619047619
NumPy,0.3535714285714286
ReAct,0.30714285714285716
CoLab,0.2458333333333333
NVidia,0.15608974358974362
HuggingFace,0.13779761904761906
AutoGPT,0.11339188453159038
TensorFlow,0.08928571428571425
PyTorch,0.07916666666666666
Automation,0.07638888888888887
gPUs,0.06666666666666674
Apple,0.06263440860215055
Magic,-0.0038082437275985814
JavaScript,-0.01874999999999999
GPT3,-0.06456043956043955
NN,-0.06527777777777777
VSCode,-0.08333333333333331
CoPilot,-0.09575569358178056
LLaMa,-0.14047619047619048
ProGrAmMer,-0.1426470588235294
FaceBook,-0.15773809523809523
DL,-0.16666666666666666
CHinese,-0.2087912087912088
STable,-0.21084656084656084
Chatbot,-0.21242492492492493
LeAKeD,-0.21666666666666667
Project,-0.22241223998007442
GitHub,-0.2343198522866042
lLMs,-0.24300699378512813
ExPeRt,-0.24875992063492064
Google,-0.2533345403002557
GPT4,-0.2621292175847423
Create,-0.2784903999542216
cOnCePt,-0.2848615332657886
NLP,-0.29230072463768114
Search,-0.29510256632864645
MicroSoft,-0.298652552808563
AI,-0.3201202286208482
AGI,-0.3277777777777778
ChatGPT,-0.33157800723099984
MOdel,-0.35691486614410234
LoRa,-0.3670168067226891
Algorithm,-0.3871052316174267
TesT,-0.3963954551390884
ArXiv,-0.425
ML,-0.43180312520729525
Stability,-0.4895833333333333
OpenAI,-0.5176199693220631
